,Invoice,OrderValue,OrderQuantity,UniqueProducts,Customer ID,Country,OrderDate
30,489533,181.5,60,19,16011,United Kingdom,2009-12-01 12:02:00
31,489536,341.02,199,107,16393,United Kingdom,2009-12-01 12:13:00
32,489537,633.33,250,58,14040,United Kingdom,2009-12-01 12:14:00
33,489539,2887.14,1598,17,15061,United Kingdom,2009-12-01 12:18:00
34,489540,537.96,188,5,12913,United Kingdom,2009-12-01 12:18:00
35,489542,387.6,264,2,15061,United Kingdom,2009-12-01 12:19:00
36,489544,281.82,226,14,14341,United Kingdom,2009-12-01 12:20:00
37,489545,124.95,92,32,17804,United Kingdom,2009-12-01 12:22:00
38,489546,584.5,212,33,14156,EIRE,2009-12-01 12:30:00
39,489547,641.45,595,22,13599,United Kingdom,2009-12-01 12:30:00
40,489550,482.3,232,23,14156,EIRE,2009-12-01 12:33:00
41,489552,278.61,129,25,17063,United Kingdom,2009-12-01 12:36:00
42,489556,377.15,174,56,15719,United Kingdom,2009-12-01 12:47:00
43,489557,531.94,438,20,12490,France,2009-12-01 12:52:00
44,489558,291.58,154,4,15793,United Kingdom,2009-12-01 12:54:00
45,489559,128.60000000000002,26,8,17056,United Kingdom,2009-12-01 12:55:00
46,489560,859.1,1585,26,13526,United Kingdom,2009-12-01 12:56:00
47,489561,246.86,273,27,14654,United Kingdom,2009-12-01 12:57:00
48,489562,229.6,107,39,17998,United Kingdom,2009-12-01 13:07:00
49,489564,322.9,326,11,13526,United Kingdom,2009-12-01 13:13:00
50,489566,218.55,35,8,17742,United Kingdom,2009-12-01 13:16:00
51,489567,307.8,150,20,15326,United Kingdom,2009-12-01 13:19:00
52,489569,282.28,312,18,14478,United Kingdom,2009-12-01 13:20:00
53,489571,156.71,50,30,15967,United Kingdom,2009-12-01 13:29:00
54,489572,507.49,273,83,17611,United Kingdom,2009-12-01 13:29:00
55,489573,580.02,306,32,15051,United Kingdom,2009-12-01 13:29:00
56,489574,544.73,309,63,13097,United Kingdom,2009-12-01 13:31:00
57,489575,367.28,300,22,13590,United Kingdom,2009-12-01 13:37:00
58,489576,319.66,178,17,15984,United Kingdom,2009-12-01 13:38:00
59,489579,219.82,177,34,16887,United Kingdom,2009-12-01 13:41:00
60,489580,261.0,276,8,12921,United Kingdom,2009-12-01 13:43:00
61,489581,124.83,137,10,15945,United Kingdom,2009-12-01 13:47:00
62,489582,293.95,125,9,14543,United Kingdom,2009-12-01 13:47:00
63,489584,21.95,1,1,18037,United Kingdom,2009-12-01 13:48:00
64,489585,105.85,67,4,15662,United Kingdom,2009-12-01 13:49:00
65,489586,263.42,98,6,15380,United Kingdom,2009-12-01 13:50:00
66,489590,362.78,87,27,13110,United Kingdom,2009-12-01 14:14:00
67,489593,407.96999999999997,93,29,12836,United Kingdom,2009-12-01 14:19:00
68,489594,319.38,180,46,15005,United Kingdom,2009-12-01 14:19:00
69,489598,822.37,575,50,16620,United Kingdom,2009-12-01 14:35:00
70,489599,2454.68,1403,79,12758,Portugal,2009-12-01 14:40:00
71,489606,2.1,1,1,17961,United Kingdom,2009-12-01 14:48:00
72,489611,2.95,1,1,15601,United Kingdom,2009-12-01 14:53:00
73,489613,12.75,1,1,13585,United Kingdom,2009-12-01 14:56:00
74,489617,198.0,42,16,13442,United Kingdom,2009-12-01 14:59:00
75,489634,17.4,12,1,13381,United Kingdom,2009-12-01 15:19:00
76,489635,352.85,173,21,16763,United Kingdom,2009-12-01 15:26:00
77,489637,535.9,157,20,17243,United Kingdom,2009-12-01 15:36:00
78,489639,31.2,48,1,14865,United Kingdom,2009-12-01 16:05:00
79,489640,329.91,600,26,17345,United Kingdom,2009-12-01 16:17:00
80,489641,622.1,462,30,13819,United Kingdom,2009-12-01 16:18:00
81,489644,857.54,297,24,15808,United Kingdom,2009-12-01 16:30:00
82,489645,261.74,97,32,17191,United Kingdom,2009-12-01 16:34:00
83,489650,173.1,90,7,13748,United Kingdom,2009-12-01 16:44:00
84,489652,294.14,146,17,15265,United Kingdom,2009-12-01 17:08:00
85,489654,222.12,115,30,15750,United Kingdom,2009-12-01 17:19:00
86,489656,1237.3000000000002,401,22,17428,United Kingdom,2009-12-01 17:28:00
87,489657,55.2,32,3,17428,United Kingdom,2009-12-01 17:28:00
88,489658,828.09,249,21,15485,United Kingdom,2009-12-01 17:31:00
89,489661,23.48,34,4,17246,United Kingdom,2009-12-01 17:45:00
90,489662,73.75,25,1,15485,United Kingdom,2009-12-01 17:50:00
91,489664,374.43,57,11,14061,United Kingdom,2009-12-01 18:03:00
92,489665,252.29999999999998,118,10,14108,United Kingdom,2009-12-01 18:07:00
93,489666,263.09,203,15,13648,United Kingdom,2009-12-01 18:13:00
94,489667,538.46,221,10,16563,United Kingdom,2009-12-01 18:35:00
95,489668,378.12,198,8,16701,United Kingdom,2009-12-01 19:19:00
96,489669,397.2,168,3,12842,United Kingdom,2009-12-02 08:15:00
97,489670,114.6,28,2,14302,United Kingdom,2009-12-02 08:16:00
98,489671,740.3,966,8,14135,United Kingdom,2009-12-02 08:58:00
99,489672,772.65,421,32,14831,United Kingdom,2009-12-02 09:21:00
100,489673,61.1,34,4,14831,United Kingdom,2009-12-02 09:23:00
101,489674,261.3,266,17,15602,United Kingdom,2009-12-02 09:35:00
102,489675,4939.22,1930,22,13777,United Kingdom,2009-12-02 09:47:00
103,489676,1210.8,840,5,13777,United Kingdom,2009-12-02 09:49:00
104,489677,192.0,48,2,14000,United Kingdom,2009-12-02 09:50:00
105,489678,189.3,113,20,16823,United Kingdom,2009-12-02 09:57:00
106,489679,795.98,280,42,16163,United Kingdom,2009-12-02 10:00:00
107,489680,45.0,36,1,17193,United Kingdom,2009-12-02 10:02:00
108,489681,89.59,183,11,17998,United Kingdom,2009-12-02 10:02:00
109,489682,125.72999999999999,303,4,15759,United Kingdom,2009-12-02 10:08:00
110,489683,1317.97,721,46,16131,United Kingdom,2009-12-02 10:09:00
111,489684,266.6,116,9,14560,United Kingdom,2009-12-02 10:15:00
112,489687,221.53,113,12,17087,United Kingdom,2009-12-02 10:41:00
113,489688,299.70000000000005,54,3,14894,United Kingdom,2009-12-02 10:42:00
114,489695,306.95,121,15,16202,United Kingdom,2009-12-02 10:48:00
115,489699,401.7,238,25,16700,United Kingdom,2009-12-02 10:51:00
116,489702,3108.64,2020,30,17511,United Kingdom,2009-12-02 10:52:00
117,489705,17.0,4,1,16700,United Kingdom,2009-12-02 10:52:00
118,489723,2052.12,1339,26,14299,United Kingdom,2009-12-02 10:58:00
119,489725,216.0,300,1,17949,United Kingdom,2009-12-02 11:07:00
120,489726,750.0,200,1,17949,United Kingdom,2009-12-02 11:07:00
121,489727,900.0,450,1,17949,United Kingdom,2009-12-02 11:09:00
122,489728,180.45,349,10,14799,United Kingdom,2009-12-02 11:18:00
123,489733,168.0,48,2,15311,United Kingdom,2009-12-02 11:20:00
124,489743,538.77,320,33,16550,United Kingdom,2009-12-02 11:24:00
125,489748,754.2,84,3,12980,United Kingdom,2009-12-02 11:26:00
126,489764,223.1,82,14,14425,United Kingdom,2009-12-02 11:31:00
127,489765,271.74,88,38,15353,United Kingdom,2009-12-02 11:33:00
128,489766,124.78,86,42,17818,United Kingdom,2009-12-02 11:34:00
129,489780,159.98,90,8,13654,United Kingdom,2009-12-02 11:43:00
130,489782,228.35999999999999,147,21,17189,United Kingdom,2009-12-02 11:45:00
131,489783,162.04,152,7,13269,United Kingdom,2009-12-02 11:47:00
132,489784,40.8,48,4,13269,United Kingdom,2009-12-02 11:48:00
133,489785,333.09000000000003,248,19,14653,United Kingdom,2009-12-02 11:51:00
134,489786,212.66,197,39,17019,United Kingdom,2009-12-02 11:52:00
135,489787,293.19,116,63,15542,United Kingdom,2009-12-02 11:53:00
136,489788,119.16,38,17,13564,United Kingdom,2009-12-02 11:55:00
137,489789,80.4,24,5,15833,United Kingdom,2009-12-02 11:59:00
138,489790,131.12,88,2,16467,United Kingdom,2009-12-02 11:59:00
139,489791,216.59,87,62,15542,United Kingdom,2009-12-02 12:06:00
140,489792,923.79,165,58,14527,United Kingdom,2009-12-02 12:06:00
141,489793,260.36,124,16,17476,United Kingdom,2009-12-02 12:09:00
142,489794,58.2,55,4,15287,United Kingdom,2009-12-02 12:13:00
143,489795,935.01,287,13,14440,United Kingdom,2009-12-02 12:13:00
144,489796,311.5,268,19,15680,United Kingdom,2009-12-02 12:15:00
145,489797,196.88,141,25,15581,United Kingdom,2009-12-02 12:19:00
146,489798,296.69,93,19,13740,United Kingdom,2009-12-02 12:22:00
147,489800,382.57,502,31,17768,United Kingdom,2009-12-02 12:26:00
148,489801,128.48,144,6,12948,United Kingdom,2009-12-02 12:28:00
149,489802,174.52,156,44,15581,United Kingdom,2009-12-02 12:32:00
150,489804,251.17,185,15,14667,United Kingdom,2009-12-02 12:38:00
151,489805,454.35,227,46,17377,United Kingdom,2009-12-02 12:39:00
152,489807,180.13,241,27,15581,United Kingdom,2009-12-02 12:43:00
153,489808,109.84,82,17,14467,United Kingdom,2009-12-02 12:44:00
154,489809,112.5,68,6,13457,United Kingdom,2009-12-02 12:46:00
155,489810,493.25,165,26,18108,United Kingdom,2009-12-02 12:47:00
156,489811,634.29,515,9,16210,United Kingdom,2009-12-02 12:54:00
157,489812,597.6899999999999,85,25,17377,United Kingdom,2009-12-02 13:00:00
158,489814,811.53,503,84,14669,United Kingdom,2009-12-02 13:06:00
159,489815,110.05,35,8,17909,United Kingdom,2009-12-02 13:10:00
160,489816,284.55,258,27,16086,United Kingdom,2009-12-02 13:20:00
161,489817,340.2,132,3,16711,United Kingdom,2009-12-02 13:22:00
162,489818,294.3,102,14,16233,United Kingdom,2009-12-02 13:23:00
163,489819,618.43,465,13,14739,United Kingdom,2009-12-02 13:23:00
164,489822,371.27000000000004,103,54,14204,United Kingdom,2009-12-02 13:26:00
165,489823,87.3,42,6,17606,United Kingdom,2009-12-02 13:32:00
166,489824,176.88,127,44,16797,United Kingdom,2009-12-02 13:33:00
167,489825,174.1,94,10,16126,United Kingdom,2009-12-02 13:34:00
168,489826,85.95,17,10,17867,United Kingdom,2009-12-02 13:39:00
169,489827,445.7,382,23,17412,United Kingdom,2009-12-02 13:51:00
170,489829,472.47,237,8,16525,United Kingdom,2009-12-02 13:53:00
171,489830,628.14,240,62,13623,United Kingdom,2009-12-02 13:57:00
172,489831,1008.0,480,1,12435,Denmark,2009-12-02 13:58:00
173,489832,313.27,121,54,14549,United Kingdom,2009-12-02 14:06:00
174,489833,150.68,79,24,14980,United Kingdom,2009-12-02 14:09:00
175,489834,214.8,24,1,14106,United Kingdom,2009-12-02 14:09:00
176,489835,714.0,280,2,15061,United Kingdom,2009-12-02 14:15:00
177,489837,507.47,268,43,14396,United Kingdom,2009-12-02 14:21:00
178,489840,89.7,6,1,14122,United Kingdom,2009-12-02 14:22:00
179,489855,157.91,56,28,16987,United Kingdom,2009-12-02 14:34:00
180,489862,734.7,150,4,17809,United Kingdom,2009-12-02 14:52:00
181,489863,66.82,21,18,15917,United Kingdom,2009-12-02 14:55:00
182,489864,206.85,79,3,14987,United Kingdom,2009-12-02 14:56:00
183,489865,234.87,53,18,14080,United Kingdom,2009-12-02 15:01:00
184,489866,987.73,577,109,16200,United Kingdom,2009-12-02 15:04:00
185,489868,675.0,248,14,15794,United Kingdom,2009-12-02 15:10:00
186,489869,39.980000000000004,27,17,16200,United Kingdom,2009-12-02 15:15:00
187,489870,162.1,118,3,15523,United Kingdom,2009-12-02 15:16:00
188,489871,735.7,274,5,15523,United Kingdom,2009-12-02 15:17:00
189,489872,632.9,320,22,15615,United Kingdom,2009-12-02 15:28:00
190,489873,10.2,12,1,15615,United Kingdom,2009-12-02 15:29:00
191,489874,176.6,144,12,18001,United Kingdom,2009-12-02 15:38:00
192,489875,525.71,217,92,17841,United Kingdom,2009-12-02 15:41:00
193,489876,39.85,22,18,15917,United Kingdom,2009-12-02 15:44:00
194,489877,368.1,162,4,13089,United Kingdom,2009-12-02 15:44:00
195,489878,140.16,55,36,15989,United Kingdom,2009-12-02 15:51:00
196,489879,163.47,138,42,17660,United Kingdom,2009-12-02 16:02:00
197,489880,380.28,552,22,13313,United Kingdom,2009-12-02 16:18:00
198,489883,524.28,260,26,12437,France,2009-12-02 16:24:00
199,489884,3.61,19,1,13313,United Kingdom,2009-12-02 16:24:00
200,489888,597.4,660,26,14841,United Kingdom,2009-12-02 16:49:00
201,489889,4734.24,3200,20,14646,Netherlands,2009-12-02 16:52:00
202,489890,976.8,592,3,14646,Netherlands,2009-12-02 16:53:00
203,489891,181.08,144,6,15482,United Kingdom,2009-12-02 16:59:00
204,489893,300.1,98,9,16156,United Kingdom,2009-12-02 17:06:00
205,489894,520.1999999999999,396,27,17716,United Kingdom,2009-12-02 17:18:00
206,489895,371.82,266,22,12779,Poland,2009-12-03 07:25:00
207,489896,337.93,227,20,13611,United Kingdom,2009-12-03 07:57:00
208,489897,260.44,176,13,15255,United Kingdom,2009-12-03 09:10:00
209,489900,287.37,253,19,14771,United Kingdom,2009-12-03 09:44:00
210,489902,119.10000000000001,18,4,14838,United Kingdom,2009-12-03 09:52:00
211,489904,203.78,150,13,13979,United Kingdom,2009-12-03 10:02:00
212,489905,478.7,242,19,13800,United Kingdom,2009-12-03 10:03:00
213,489906,120.0,96,4,14483,United Kingdom,2009-12-03 10:16:00
214,489907,202.06,104,11,14915,United Kingdom,2009-12-03 10:17:00
215,489908,107.33,41,6,16301,United Kingdom,2009-12-03 10:20:00
216,489909,642.2,428,16,13753,United Kingdom,2009-12-03 10:20:00
217,489910,144.0,288,1,15482,United Kingdom,2009-12-03 10:23:00
218,489912,1146.1,578,58,13931,United Kingdom,2009-12-03 10:26:00
219,489913,69.6,16,3,13931,United Kingdom,2009-12-03 10:28:00
220,489914,993.0,508,29,12921,United Kingdom,2009-12-03 10:28:00
221,489915,54.6,36,2,17035,United Kingdom,2009-12-03 10:37:00
222,489916,336.0,212,9,15194,United Kingdom,2009-12-03 10:37:00
223,489932,82.6,48,6,14347,United Kingdom,2009-12-03 10:49:00
224,489935,181.65,31,2,12934,United Kingdom,2009-12-03 10:51:00
225,489994,430.9,142,4,15291,United Kingdom,2009-12-03 11:09:00
226,489996,320.4,514,5,17209,United Kingdom,2009-12-03 11:10:00
227,489998,321.65,93,17,15658,United Kingdom,2009-12-03 11:19:00
228,489999,154.2,72,7,17314,United Kingdom,2009-12-03 11:25:00
229,490000,143.06,89,12,17155,United Kingdom,2009-12-03 11:34:00
230,490001,169.5,94,2,15965,United Kingdom,2009-12-03 11:45:00
231,490002,114.55,115,28,17322,United Kingdom,2009-12-03 11:46:00
232,490003,317.55,163,12,16159,United Kingdom,2009-12-03 11:51:00
233,490004,912.5600000000001,224,9,14051,United Kingdom,2009-12-03 11:53:00
234,490005,556.75,203,25,13993,United Kingdom,2009-12-03 11:57:00
235,490006,344.4,150,19,17411,United Kingdom,2009-12-03 12:02:00
236,490008,502.28,256,63,15768,United Kingdom,2009-12-03 12:10:00
237,490009,285.09,100,29,12835,United Kingdom,2009-12-03 12:13:00
238,490010,1008.0,480,1,15061,United Kingdom,2009-12-03 12:15:00
239,490011,221.69,138,43,16918,United Kingdom,2009-12-03 12:27:00
240,490012,763.35,339,27,15179,United Kingdom,2009-12-03 12:27:00
241,490013,500.55,395,33,17069,United Kingdom,2009-12-03 12:27:00
242,490014,740.46,406,91,15466,United Kingdom,2009-12-03 12:28:00
243,490017,393.65,267,97,14159,United Kingdom,2009-12-03 12:31:00
244,490018,4380.0,17520,4,17940,United Kingdom,2009-12-03 12:31:00
245,490019,308.6,116,15,17581,United Kingdom,2009-12-03 12:34:00
246,490020,37.8,14,3,17581,United Kingdom,2009-12-03 12:36:00
247,490021,10.2,12,1,17581,United Kingdom,2009-12-03 12:36:00
248,490022,45.599999999999994,24,3,17581,United Kingdom,2009-12-03 12:37:00
249,490023,189.15,49,4,16168,United Kingdom,2009-12-03 12:38:00
250,490024,215.0,121,48,14606,United Kingdom,2009-12-03 12:40:00
251,490034,69.82,30,11,17287,United Kingdom,2009-12-03 12:45:00
252,490045,180.39,109,22,17287,United Kingdom,2009-12-03 12:50:00
253,490046,228.3,66,7,13416,United Kingdom,2009-12-03 13:02:00
254,490047,263.85,131,27,17913,United Kingdom,2009-12-03 13:02:00
255,490048,1146.71,681,34,16779,United Kingdom,2009-12-03 13:03:00
256,490049,102.0,40,1,15794,United Kingdom,2009-12-03 13:04:00
257,490050,13.5,2,1,17913,United Kingdom,2009-12-03 13:05:00
258,490052,831.0,408,42,13895,United Kingdom,2009-12-03 13:09:00
259,490053,119.53999999999999,101,17,14057,United Kingdom,2009-12-03 13:17:00
260,490054,277.5,186,7,17017,United Kingdom,2009-12-03 13:22:00
261,490056,61.120000000000005,56,16,13208,United Kingdom,2009-12-03 13:25:00
262,490057,360.52,184,20,17465,United Kingdom,2009-12-03 13:25:00
263,490058,47.85,27,2,17465,United Kingdom,2009-12-03 13:26:00
264,490059,14475.0,4825,9,18102,United Kingdom,2009-12-03 13:30:00
265,490060,314.21999999999997,148,17,13468,United Kingdom,2009-12-03 13:32:00
266,490061,4000.0,2000,4,18102,United Kingdom,2009-12-03 13:42:00
267,490062,165.3,86,8,13485,United Kingdom,2009-12-03 13:46:00
268,490063,204.3,113,46,17271,United Kingdom,2009-12-03 13:49:00
269,490064,355.59000000000003,215,19,16139,United Kingdom,2009-12-03 13:51:00
270,490065,1260.0,600,1,15061,United Kingdom,2009-12-03 13:58:00
271,490066,372.20000000000005,212,7,15953,United Kingdom,2009-12-03 14:00:00
272,490067,952.61,412,24,15856,United Kingdom,2009-12-03 14:02:00
273,490068,284.3,90,9,13085,United Kingdom,2009-12-03 14:06:00
274,490069,161.4,60,5,13085,United Kingdom,2009-12-03 14:07:00
275,490070,236.25,68,5,14967,United Kingdom,2009-12-03 14:07:00
276,490071,294.85,111,19,16497,United Kingdom,2009-12-03 14:11:00
277,490072,187.15,69,29,17764,United Kingdom,2009-12-03 14:28:00
278,490073,258.09999999999997,172,13,14905,United Kingdom,2009-12-03 14:36:00
279,490075,381.0,84,4,18229,United Kingdom,2009-12-03 14:42:00
280,490077,115.50999999999999,65,6,17293,United Kingdom,2009-12-03 15:09:00
281,490078,584.35,159,28,17853,United Kingdom,2009-12-03 15:09:00
282,490079,160.35,85,10,15550,United Kingdom,2009-12-03 15:15:00
283,490080,311.7,126,15,13531,United Kingdom,2009-12-03 15:20:00
284,490081,723.09,323,20,13786,United Kingdom,2009-12-03 15:32:00
285,490082,337.9,262,7,14952,United Kingdom,2009-12-03 15:34:00
286,490083,2506.14,1132,61,14031,United Kingdom,2009-12-03 15:35:00
287,490085,170.06,108,15,12937,United Kingdom,2009-12-03 15:43:00
288,490086,799.2,432,1,17949,United Kingdom,2009-12-03 15:48:00
289,490087,898.18,668,51,15601,United Kingdom,2009-12-03 15:49:00
290,490088,17.0,2,2,15581,United Kingdom,2009-12-03 15:50:00
291,490089,466.2,252,1,17949,United Kingdom,2009-12-03 15:52:00
292,490090,41.18,23,15,15581,United Kingdom,2009-12-03 15:53:00
293,490091,636.0,600,1,17949,United Kingdom,2009-12-03 15:54:00
294,490092,510.87,297,23,16612,United Kingdom,2009-12-03 15:54:00
295,490093,1794.7,896,64,12949,United Kingdom,2009-12-03 15:56:00
296,490094,851.76,504,1,17949,United Kingdom,2009-12-03 15:56:00
297,490095,186.36,54,12,14958,United Kingdom,2009-12-03 16:02:00
298,490097,273.52,144,35,17329,United Kingdom,2009-12-03 16:09:00
299,490099,1225.98,526,74,16736,United Kingdom,2009-12-03 16:12:00
300,490100,869.93,403,83,13001,United Kingdom,2009-12-03 16:21:00
301,490101,338.5,150,11,14644,United Kingdom,2009-12-03 16:24:00
302,490106,314.37,275,20,14898,United Kingdom,2009-12-03 16:40:00
303,490107,110.69999999999999,30,8,14662,United Kingdom,2009-12-03 16:47:00
304,490108,239.68,444,5,17414,United Kingdom,2009-12-03 16:49:00
305,490109,415.0,204,20,14755,United Kingdom,2009-12-03 16:51:00
306,490110,30.15,13,2,14755,United Kingdom,2009-12-03 16:52:00
307,490111,319.96,220,29,17576,United Kingdom,2009-12-03 16:54:00
308,490112,313.19,161,20,13037,United Kingdom,2009-12-03 17:04:00
309,490113,39.2,16,11,14710,United Kingdom,2009-12-03 17:12:00
310,490114,257.62,160,21,18168,United Kingdom,2009-12-03 17:29:00
311,490115,342.6,316,12,17679,United Kingdom,2009-12-03 17:32:00
312,490116,122.4,48,4,17679,United Kingdom,2009-12-03 17:33:00
313,490118,317.04,151,46,17851,United Kingdom,2009-12-03 17:46:00
314,490119,108.75,75,1,12931,United Kingdom,2009-12-03 17:48:00
315,490121,112.03,65,32,14750,United Kingdom,2009-12-03 17:57:00
316,490124,304.92,106,43,16791,United Kingdom,2009-12-03 18:08:00
317,490125,297.05,109,9,16558,United Kingdom,2009-12-03 18:11:00
318,490127,519.18,202,32,14156,EIRE,2009-12-03 18:13:00
319,490128,236.7,150,13,15884,United Kingdom,2009-12-03 18:23:00
320,490132,197.3,89,12,17343,United Kingdom,2009-12-03 18:30:00
321,490134,151.65,59,25,17372,United Kingdom,2009-12-03 18:41:00
322,490135,387.87,127,18,16003,United Kingdom,2009-12-03 18:51:00
323,490136,159.95,69,39,17432,United Kingdom,2009-12-03 19:13:00
324,490137,160.69,104,21,14713,United Kingdom,2009-12-03 19:22:00
325,490138,339.78,198,14,16722,United Kingdom,2009-12-03 19:23:00
326,490139,210.55,79,13,12577,France,2009-12-03 19:31:00
327,490140,407.22,227,42,12872,United Kingdom,2009-12-03 20:03:00
328,490141,308.75,158,18,15755,United Kingdom,2009-12-04 08:24:00
329,490142,1261.0,356,14,14258,United Kingdom,2009-12-04 08:36:00
330,490143,1610.52,1687,76,14286,United Kingdom,2009-12-04 08:40:00
331,490144,337.1,152,18,13154,United Kingdom,2009-12-04 08:46:00
332,490145,989.18,439,39,14564,Channel Islands,2009-12-04 09:27:00
333,490147,510.64,472,8,13408,United Kingdom,2009-12-04 09:31:00
334,490151,160.39,117,14,16645,United Kingdom,2009-12-04 09:49:00
335,490152,556.65,231,28,12714,France,2009-12-04 10:00:00
336,490154,288.79,110,46,16335,United Kingdom,2009-12-04 10:18:00
337,490156,455.36,262,6,13093,United Kingdom,2009-12-04 10:32:00
338,490157,138.0,40,1,16736,United Kingdom,2009-12-04 10:39:00
339,490158,454.26,278,21,12759,Netherlands,2009-12-04 10:47:00
340,490159,19.5,2,2,13666,United Kingdom,2009-12-04 10:48:00
341,490160,244.8,96,1,13777,United Kingdom,2009-12-04 10:52:00
342,490161,825.9399999999999,653,59,17160,United Kingdom,2009-12-04 10:57:00
343,490162,280.2,206,26,13946,United Kingdom,2009-12-04 11:07:00
344,490163,141.63,115,17,14723,United Kingdom,2009-12-04 11:22:00
345,490164,1058.4,632,41,14961,United Kingdom,2009-12-04 11:32:00
346,490166,371.85,175,12,14735,United Kingdom,2009-12-04 11:32:00
347,490167,312.21,241,8,18061,United Kingdom,2009-12-04 11:36:00
348,490171,29.28,32,5,15581,United Kingdom,2009-12-04 11:54:00
349,490202,410.0,188,20,15078,United Kingdom,2009-12-04 12:03:00
350,490209,908.0400000000001,484,5,17389,United Kingdom,2009-12-04 12:06:00
351,490212,108.95,41,12,16883,United Kingdom,2009-12-04 12:07:00
352,490214,319.15,201,20,13175,United Kingdom,2009-12-04 12:11:00
353,490218,67.67999999999999,48,3,17076,United Kingdom,2009-12-04 12:12:00
354,490219,155.65,63,7,13948,United Kingdom,2009-12-04 12:14:00
355,490229,1185.16,713,34,18223,United Kingdom,2009-12-04 12:20:00
356,490247,351.3,208,11,16192,United Kingdom,2009-12-04 12:28:00
357,490258,20.4,24,1,15999,United Kingdom,2009-12-04 12:31:00
358,490266,231.2,50,8,15109,United Kingdom,2009-12-04 12:33:00
359,490272,519.89,272,56,14680,United Kingdom,2009-12-04 12:36:00
360,490277,1077.6,600,10,18092,United Kingdom,2009-12-04 12:37:00
361,490279,297.68,154,71,16891,United Kingdom,2009-12-04 12:37:00
362,490281,311.2,148,16,13481,United Kingdom,2009-12-04 12:37:00
363,490282,107.95,43,7,13807,United Kingdom,2009-12-04 12:41:00
364,490284,429.66,209,42,14979,United Kingdom,2009-12-04 12:54:00
365,490285,373.74,210,7,16656,United Kingdom,2009-12-04 12:59:00
366,490286,762.1,147,53,14527,United Kingdom,2009-12-04 12:59:00
367,490287,367.1,218,14,16746,United Kingdom,2009-12-04 13:00:00
368,490288,332.16,112,3,17157,United Kingdom,2009-12-04 13:00:00
369,490289,273.75,143,20,15309,United Kingdom,2009-12-04 13:01:00
370,490290,164.03,85,10,16325,United Kingdom,2009-12-04 13:21:00
371,490291,424.03,173,38,16541,United Kingdom,2009-12-04 13:22:00
372,490292,426.43,150,50,16723,United Kingdom,2009-12-04 13:23:00
373,490293,137.4,130,14,16699,United Kingdom,2009-12-04 13:31:00
374,490294,378.96,298,61,16710,United Kingdom,2009-12-04 13:41:00
375,490295,323.88,500,16,12510,Spain,2009-12-04 13:47:00
376,490297,694.2,328,14,13162,United Kingdom,2009-12-04 13:59:00
377,490298,1523.2,954,40,15382,United Kingdom,2009-12-04 14:13:00
378,490299,618.27,192,43,13680,United Kingdom,2009-12-04 14:14:00
379,490300,236.93,170,69,12970,United Kingdom,2009-12-04 14:19:00
380,490301,345.27,93,9,15311,United Kingdom,2009-12-04 14:24:00
381,490302,300.32,126,65,17841,United Kingdom,2009-12-04 14:29:00
382,490303,106.25,55,7,17935,United Kingdom,2009-12-04 14:33:00
